domain,category
jukinmedia.com,Streaming
justdate.com,Dating
kaneva.com,Social Media
kasperskyclub.ru,Forums
kickstarter.com,Finance
kimsufi.com,Tech Services
kitchenpalapp.com,Tech Services
kiwifarms.net,Forums
km.ru,Social Media
knowncircle.com,Social Media
knuddels.de,Social Media
kodi.tv,Streaming
komplettfritid.no,E-commerce
kreditplus.com,Finance
ladies.com,Dating
landairsea.com,Tech Services
lanwar.com,Gaming
lapostemobile.fr,Tech Services
last.fm,Streaming
lbb.in,E-commerce
lbsg.net,Gaming
ldlc.com,E-commerce
leagueoflegends.com,Gaming
leakedreality.com,Streaming
lecoqsportif.com.co,E-commerce
ledger.com,Finance
leet.cc,Hacking
legendas.tv,Streaming
leslipfrancais.fr,E-commerce
lexipol.com,Tech Services
life360.com,Tech Services
lifebear.com,Tech Services
lightshope.org,Gaming
liker.com,Social Media
limevpn.com,Tech Services
linkedin.com,Job Search
linuxforums.org,Forums
linuxmint.com,Tech Services
littlemonsters.com,Social Media
liveauctioneers.com,E-commerce
livejournal.com,Social Media
livpure.com,E-commerce
lizardstresser.su,Hacking
locally.com,E-commerce
lolzteam.net,Hacking
lookbook.nu,Social Media
lookiero.com,E-commerce
lotro.com,Gaming
loungeboard.net,Forums
luluhypermarket.com,E-commerce
luminpdf.com,Tech Services
luxottica.com,E-commerce
lyricsmania.com,Streaming
mac-forums.com,Forums
mac-torrents.com,Torrents
macg.co,News/Media
magicduel.com,Gaming
mail.ru,Social Media
majorgeeks.com,Tech Services
malindoair.com,Travel
mall.cz,E-commerce
malwarebytes.org,Tech Services
mangadex.org,Streaming
mangafox.me,Streaming
mangatoon.mobi,Streaming
mangatraders.com,Streaming
mappery.com,Tech Services
marketmoveis.pt,E-commerce
mashable.com,News/Media
mate1.com,Dating
mathway.com,Education
mcbans.com,Gaming
mdpi.com,Education
mechodownload.com,Torrents
mediaworks.co.nz,News/Media
meetmindful.com,Dating
memechat.app,Social Media
meoair.com,Travel
mgmresorts.com,Travel
mindjolt.com,Gaming
minecraftpeforum.net,Forums
minecraftworldmap.com,Gaming
minefield.fr,Gaming
minehut.com,Gaming
minted.com,E-commerce
mmgfusion.com,Tech Services
mobifriends.com,Dating
modaco.com,Forums
modbsolutions.com,Tech Services
moneybookers.com,Finance
moneycontrol.com,Finance
morele.net,E-commerce
mortalonline.com,Gaming
movieboxpro.app,Streaming
movieforums.com,Forums
mpgh.net,Hacking
mrexcel.com,Forums
mrgreengaming.com,Gaming
msi.com,Tech Services
mspy.com,Tech Services
muah.ai,Tech Services
multiplayer.it,Gaming
muslimdirectory.co.uk,Other
muslimmatch.com,Dating
myfha.net,Finance
myfitnesspal.com,Health/Fitness
myheritage.com,Tech Services
mypertamina.id,Finance
myrepospace.com,Tech Services
myspace.com,Social Media
myvidster.com,Streaming
nap.bg,E-commerce
napsgear.org,E-commerce
naughtyamerica.com,Streaming
neimanmarcus.com,E-commerce
nemoweb.net,Tech Services
neopets.com,Gaming
neteller.com,Finance
netgalley.com,E-commerce
netlog.com,Social Media
netprospex.com,Tech Services
netshoes.com.br,E-commerce
nextgenupdate.com,Forums
nexusmods.com,Gaming
nihonomaru.net,Forums
nival.com,Gaming
nonnudegirls.org,Forums
nulled.ch,Hacking
nulled.cr,Hacking
nurserycam.co.uk,Tech Services
nvidia.com,Tech Services
ogusers.com,Hacking
omgpop.com,Gaming
onlinetrade.ru,E-commerce
onrpg.com,Gaming
onverse.com,Gaming
opencsgo.com,Gaming
opensubtitles.org,Streaming
orange.ro,Tech Services
ordersnapp.com,Tech Services
ordineavvocatiroma.it,Government
otelier.com,Travel
ovh.com,Tech Services
oxfam.org.au,Other
paddypower.com,Gaming
pampling.com,E-commerce
pandabuy.com,E-commerce
paragoncheats.com,Hacking
parapa.mail.ru,Gaming
parkmobile.io,Tech Services
patreon.com,Finance
payasugym.com,Health/Fitness
payhere.lk,Finance
paysystem.tech,Finance
paytm.com,Finance
pctattletale.com,Tech Services
peatix.com,Travel
pemiblanc.com,E-commerce
peoplesenergy.co.uk,Tech Services
petflow.com,E-commerce
phoenixim.ddns.net,Hacking
phonehouse.es,E-commerce
phpfreaks.com,Forums
pipingrock.com,E-commerce
pixelfederation.com,Gaming
pixlr.com,Design Tools
pizap.com,Design Tools
pizza.dominos.be,E-commerce
planet-ice.co.uk,Travel
planetcalypsoforum.com,Forums
play-gar.com,Gaming
playbook.vc,Finance
playcybergames.com,Gaming
plex.tv,Streaming
pluto.tv,Streaming
poincampus.com,Education
pokebip.com,Gaming
pokemoncreed.net,Gaming
pokemonnegro.com,Gaming
policeone.com,Forums
poshmark.com,E-commerce
powerbot.org,Gaming
ppcgeeks.com,Forums
preen.me,Health/Fitness
proctoru.com,Education
programmingforums.org,Forums
promo.com,Design Tools
promofarma.com,E-commerce
proptiger.com,E-commerce
protemps.com.sg,Job Search
ps3hax.net,Hacking
pspiso.com,Torrents
psx-scene.com,Forums
qip.ru,Social Media
qnb.com,Finance
qraved.com,E-commerce
quantumbooter.net,Hacking
questionpro.com,Tech Services
quidd.co,Social Media
quinstreet.com,Tech Services
r2games.com,Gaming
raidforums.com,Hacking
railyatri.in,Travel
rambler.ru,Social Media
rankwatch.com,Tech Services
raychat.ir,Social Media
rbx.rocks,Gaming
rdcglobal.com,Tech Services
readnovel.com,E-commerce
realdudesinc.com,E-commerce
realestatemogul.com,E-commerce
reddoorz.com,Travel
redmart.lazada.sg,E-commerce
reincubate.com,Tech Services
rentomojo.com,E-commerce
retinax.com,Tech Services
reverbnation.com,Social Media
rezeptwelt.de,Other
rightdev.co.uk,Tech Services
rivercitymediaonline.com,Tech Services
robinhood.com,Finance
roblox.com,Gaming
roll20.net,Gaming
romwe.com,E-commerce
rosebuttboard.com,Forums
royalenfield.com,E-commerce
russianamerica.com,Social Media
samsung.de,E-commerce
sayweee.com,E-commerce
scentbird.com,E-commerce
schenkyou.de,E-commerce
scholastic.com,Education
sd42.ca,Education
seedpeer.eu,Torrents
seniordating.app,Dating
sephora.com.au,E-commerce
serverpact.com,Gaming
sevenrooms.com,Tech Services
shadi.com,Dating
shadow.tech,Gaming
sharethis.com,Tech Services
shein.com,E-commerce
shitexpress.com,E-commerce
shockgore.com,Streaming
shoezone.com,E-commerce
shopback.com,E-commerce
shopperplus.ca,E-commerce
short-edition.com,E-commerce
shotbow.net,Gaming
siae.it,Government
sirhurt.net,Hacking
sitepoint.com,Forums
sktorrent.eu,Torrents
slickwraps.com,E-commerce
slideteam.net,Design Tools
smogon.com,Gaming
snail.com,Gaming
snapchat.com,Social Media
soargames.com,Gaming
socialengineered.net,Hacking
solomid.net,Gaming
sonicbids.com,Social Media
sony.com,Tech Services
soundwave.com,Streaming
specials.mastercard.de,Finance
speedio.com.br,Tech Services
sphero.com,Tech Services
spirol.com,E-commerce
sport2000.fr,E-commerce
spoutible.com,Social Media
sprashivai.ru,Social Media
spyfone.com,Tech Services
spyic.com,Tech Services
spytech-web.com,Tech Services
spyx.com,Tech Services
spyzie.io,Tech Services
stalker.so,Gaming
staminus.net,Tech Services
starnet.md,Tech Services
start.film,Streaming
startribune.com,News/Media
sterkinekor.co.za,Travel
stockx.com,E-commerce
storenvy.com,E-commerce
storybird.com,Education
straffic.io,Tech Services
stratfor.com,News/Media
streamcraft.net,Streaming
streeteasy.com,E-commerce
stripchat.com,Streaming
strongholdkingdoms.com,Gaming
subagames.com,Gaming
sumotorrent.sx,Torrents
sundryfiles.com,Tech Services
superdraft.io,Gaming
surveylama.com,Tech Services
svenskamagic.com,Gaming
sweclockers.com,Forums
switchit.hu,E-commerce
swordfantasy.com,Gaming
swvl.com,Travel
t2tea.com,E-commerce
tailieu.vn,Education
tamodo.com,E-commerce
tangerinetelecom.com.au,Tech Services
taobao.com,E-commerce
tappware.com,Tech Services
taringa.net,Social Media
technicpack.net,Gaming
teespring.com,E-commerce
tehetsegkapu.hu,Education
teracod.org,Hacking
terravision.eu,Travel
tesco.com,E-commerce
texasgop.org,Government
tgbus.com,Gaming
thecandidboard.com,Forums
thecpexperience.com,Other
thefappening.so,Streaming
theflyonthewall.com,News/Media
thegradcafe.com,Forums
thehalloweenspot.com,E-commerce
thepostmillennial.com,News/Media
therealworld.net,Social Media
thetvdb.com,Streaming
thewarinc.com,Gaming
thingiverse.com,Social Media
thishabboforum.com,Forums
tianya.cn,Social Media
tibber.com,Tech Services
ticketcounter.nl,Travel
ticketek.com.au,Travel
ticketfly.com,Travel
tigo.chat,Social Media
tnaflix.com,Streaming
tokopedia.com,E-commerce
toondoo.com,Design Tools
torrent-invites.com,Torrents
toumei.co.jp,Tech Services
tout.com,Social Media
traceup.com,Tech Services
tracki.com,Tech Services
traderie.com,Gaming
trai.gov.in,Government
travelio.com,Travel
travelok.com,Travel
trello.com,Tech Services
trillian.im,Social Media
troyhunt.com,Tech Services
truckersmp.com,Gaming
truefire.com,Education
truthfinder.com,Tech Services
tube.inflatevids.xyz,Streaming
tumblr.com,Social Media
tunedglobal.com,Streaming
tunngle.net,Gaming
twitter.com,Social Media
ualabee.com,Travel
ubook.com,Education
uiggy.com,Social Media
ulmon.com,Travel
underworldempireforums.com,Forums
unicocampania.it,Travel
universarium.org,Education
universityofcalifornia.edu,Education
unrealengine.com,Gaming
upstox.com,Finance
utahgunexchange.com,E-commerce
utorrent.com,Torrents
uuu9.com,Gaming
v3rmillion.net,Hacking
vakinha.com.br,Finance
vastaamo.fi,Health/Fitness
vbulletin.com,Tech Services
vedantu.com,Education
verifications.io,Tech Services
verified.cm,Social Media
vianet.com.np,Tech Services
victoryphones.com,Tech Services
viewfines.co.za,Government
vimeworld.com,Gaming
vivaair.com,Travel
vk.com,Social Media
vodafone.is,Tech Services
void.to,Forums
vtechda.com,Tech Services
vtightgel.com,E-commerce
wakanim.tv,Streaming
wanelo.com,E-commerce
warframe.com,Gaming
warmane.com,Gaming
wattpad.com,Social Media
wedmegood.com,E-commerce
weheartit.com,Social Media
weleakinfo.com,Hacking
welhof.com,E-commerce
wendys.com.ph,E-commerce
whitepages.com,Tech Services
whmcs.com,Tech Services
wifelovers.com,Social Media
wiiuiso.com,Torrents
wildstar-online.com,Gaming
win7vista.com,Forums
wiredbucks.com,Finance
wishbone.io,Social Media
wizishop.fr,E-commerce
wongnai.com,E-commerce
wotlabs.net,Gaming
wpsandbox.io,Tech Services
wptapl.com,Tech Services
xat.com,Social Media
xbox360iso.com,Torrents
xboxscene.com,Forums
xhamster.com,Streaming
xiaomi.cn,Tech Services
xkcd.com,Other
xpgamesaves.com,Gaming
xsplit.com,Streaming
yahoo.com,Social Media
yam.com,Social Media
yatra.com,Travel
yonema.com,Tech Services
yotepresto.com,Finance
youku.com,Streaming
youngliving.com,E-commerce
younow.com,Streaming
youporn.com,Streaming
youthmanual.com,Education
z-lib.is,Other
zacks.com,Finance
zadig-et-voltaire.com,E-commerce
zap-hosting.com,Tech Services
zhenai.com,Dating
zing.vn,Social Media
zomato.com,E-commerce
zoomcar.com,Travel
zoosk.com,Dating
zooville.org,Forums
zurich.co.jp,Finance
zynga.com,Gaming
